UIN,Incident.day,Incident.month,Incident.year,Victim.injury,State,Location,Shark.common.name,Shark.scientific.name,Latitude-Orig,Longitude-Orig,Adjusted,Site.category,AdjLat,AdjLong,Latitude,Longitude,Notes
920,1,10,2011,fatal,WA,"cottesloe beach, perth",white shark,Carcharodon carcharias ,-31.9833,115.7500,No,coastal,,,-31.9833,115.7500,
921,1,11,2011,injured,QLD,peregain beach,wobbegong,Orectolobidae,-26.4667,153.0833,No,island open ocean,,,-26.4667,153.0833,
922,3,12,2011,injured,NSW,"suffolk park, broken head beach",white shark,Carcharodon carcharias ,-28.7000,153.6000,No,coastal,,,-28.7000,153.6000,
923,1,12,2011,injured,NSW,"maroubra beach, sydney",wobbegong,Orectolobidae,-33.9333,151.2500,No,coastal,,,-33.9333,151.2500,
924,11,12,2011,injured,NSW,"yamba, angourie beach",white shark,Carcharodon carcharias ,-29.4833,153.3500,No,coastal,,,-29.4833,153.3500,
925,3,1,2012,injured,NSW,north avoca beach,white shark,Carcharodon carcharias ,-33.4500,151.4333,No,coastal,,,-33.4500,151.4333,
926,1,1,2012,uninjured,NSW,"tweed river mouth, duranbah",tiger shark,Galeocerdo cuvier ,-28.1667,153.5500,No,estuary/harbour,,,-28.1667,153.5500,
927,1,1,2012,injured,NSW,"redhead beach, newcastle",white shark,Carcharodon carcharias ,-33.0000,151.7167,No,coastal,,,-33.0000,151.7167,
928,1,1,2012,injured,WA,"the lagoon, coral bay",tiger shark,Galeocerdo cuvier ,-23.1333,113.7667,No,coastal,,,-23.1333,113.7667,
929,1,2,2012,uninjured,NSW,"wallabi point, old bar",white shark,Carcharodon carcharias ,-31.9833,152.5667,No,coastal,,,-31.9833,152.5667,
930,1,2,2012,injured,NSW,"port stephens, broughton island",wobbegong,Orectolobidae,-32.6000,152.3167,No,island open ocean,,,-32.6000,152.3167,
931,1,2,2012,uninjured,QLD,wurtulla beach,whaler shark,Carcharhinidae,-26.7500,153.1333,No,coastal,,,-26.7500,153.1333,
932,1,3,2012,injured,QLD,"nobbys beach, gold coast",bull shark,Carcharhinus leucas,-28.0500,153.4333,No,coastal,,,-28.0500,153.4333,
933,1,3,2012,uninjured,NSW,"lion island, hawkesbury river",,,-33.5500,151.3167,No,coastal,,,-33.5500,151.3167,
934,1,3,2012,fatal,WA,"stratham beach, bunbury",white shark,Carcharodon carcharias ,-33.4667,115.5167,No,coastal,,,-33.4667,115.5167,
935,1,4,2012,injured,SA,"dolphin bay, yorke peninsula",white shark,Carcharodon carcharias ,-35.1833,136.8500,No,coastal,,,-35.1833,136.8500,
936,1,5,2012,injured,NSW,"forster, barge wreck",wobbegong,Orectolobidae,-32.2167,152.6000,No,ocean/pelagic,,,-32.2167,152.6000,
937,1,5,2012,uninjured,NSW,"redhead beach, newcastle",white shark,Carcharodon carcharias ,-33.0000,151.7000,No,coastal,,,-33.0000,151.7000,
938,1,6,2012,injured,VIC,port campbell,white shark,Carcharodon carcharias ,-38.6167,142.9833,No,coastal,,,-38.6167,142.9833,
939,1,6,2012,injured,TAS,south west national park,white shark,Carcharodon carcharias ,-43.5167,146.2333,No,coastal,,,-43.5167,146.2333,
940,1,6,2012,uninjured,WA,"pinnaroo point, kallaroo, perth",white shark,Carcharodon carcharias ,-31.7833,115.7167,No,coastal,,,-31.7833,115.7167,
941,1,7,2012,injured,SA,"streaky bay, black beach",white shark,Carcharodon carcharias ,-32.7667,134.2000,No,coastal,,,-32.7667,134.2000,
942,1,7,2012,fatal,WA,"wedge island, north of perth",white shark,Carcharodon carcharias ,-30.8333,115.2667,No,Coastal,,,-30.8333,115.2667,
943,1,8,2012,injured,WA,"red bluff, north of carnarvon",tiger shark,Galeocerdo cuvier ,-24.3833,113.3833,No,coastal,,,-24.3833,113.3833,
944,1,10,2012,uninjured,WA,"mullaloo beach, perth",white shark,Carcharodon carcharias ,-31.7667,115.7167,No,coastal,,,-31.7667,115.7167,
945,1,12,2012,injured,NSW,"kylie's beach, diamond head",bull shark,Carcharhinus leucas,-31.7333,152.7833,No,coastal,,,-31.7333,152.7833,
946,1,12,2012,injured,NSW,"south west rocks, fish rock",grey nurse shark,Carcharius taurus,-30.8667,153.0333,No,estuary/harbour,,,-30.8667,153.0333,
947,5,12,2012,uninjured,NSW,"dee why beach, sydney",white shark,Carcharodon carcharias ,-33.7500,151.3000,No,coastal,,,-33.7500,151.3000,
948,1,1,2013,injured,WA,"cape legendre, cape legendre island",whaler shark,Carcharhinidae,-20.3500,116.8167,No,island open ocean,,,-20.3500,116.8167,
949,1,1,2013,injured,QLD,noosa heads,tiger shark,Galeocerdo cuvier ,-26.3667,153.0833,No,coastal,,,-26.3667,153.0833,
950,1,3,2013,injured,WA,"geraldton, african reef",bronze whaler shark,Carcharhinus brachyurus,-28.8000,114.6000,No,coastal,,,-28.8000,114.6000,
951,1,4,2013,injured,NSW,"yamba, spooky beach, angourie",wobbegong,Orectolobidae,-29.4667,153.3500,No,coastal,,,-29.4667,153.3500,
952,1,5,2013,uninjured,WA,"secret harbour, perth",white shark,Carcharodon carcharias ,-32.4000,115.7333,No,coastal,,,-32.4000,115.7333,
953,1,5,2013,injured,NSW,"byron bay, wategos beach",wobbegong,Orectolobidae,-28.6333,153.6000,No,coastal,,,-28.6333,153.6000,
954,6,6,2013,uninjured,NSW,"target beach, jarvis bay",white shark,Carcharodon carcharias ,-35.0667,150.7833,No,coastal,,,-35.0667,150.7833,
955,1,7,2013,injured,VIC,flinders,white shark,Carcharodon carcharias ,-38.4667,145.0167,No,coastal,,,-38.4667,145.0167,
956,1,10,2013,injured,NSW,narrabeen beach (south),wobbegong,Orectolobidae,-33.7167,151.3000,No,coastal,,,-33.7167,151.3000,
957,1,10,2013,injured,WA,"exmouth, turquoise bay",grey reef shark,Carcharhinus amblyrhynchos,-21.9500,114.1167,No,coastal,,,-21.9500,114.1167,
958,1,10,2013,injured,WA,"poison creek beach, israelite bay",white shark,Carcharodon carcharias ,-33.9500,123.9167,No,ocean/pelagic,,,-33.9500,123.9167,
959,1,11,2013,fatal,NSW,"coffs harbour, campbell's beach",tiger shark,Galeocerdo cuvier ,-30.2667,153.1333,No,coastal,,,-30.2667,153.1333,
960,1,11,2013,fatal,WA,"gracetown, umbies break",white shark,Carcharodon carcharias ,-33.8500,114.9667,No,coastal,,,-33.8500,114.9667,
961,1,12,2013,injured,QLD,gold coast,wobbegong,Orectolobidae,-28.1000,153.4667,No,coastal,,,-28.1000,153.4667,
962,1,12,2013,injured,NSW,"port macquarie, shelley beach",wobbegong,Orectolobidae,-31.4500,152.9167,No,coastal,,,-31.4500,152.9167,
963,1,2,2014,fatal,SA,"goldsmith beach, yorke peninsula",white shark,Carcharodon carcharias ,-35.1333,137.7000,No,coastal,,,-35.1333,137.7000,
964,1,2,2014,uninjured,WA,rottnest island,white shark,Carcharodon carcharias ,-32.0000,115.5500,No,coastal,,,-32.0000,115.5500,
965,1,3,2014,uninjured,VIC,"winkipop, bell's beach",white shark,Carcharodon carcharias ,-38.3667,144.2667,Yes,island open ocean,-38.3685,144.2847,-38.3685,144.2847,"-38.368535, 144.284768"
966,1,3,2014,injured,NSW,"port macquarie, lighthouse beach",wobbegong,Orectolobidae,-31.4667,152.9167,No,coastal,,,-31.4667,152.9167,
967,3,4,2014,fatal,NSW,tathra,white shark,Carcharodon carcharias ,-36.7167,149.9833,No,coastal,,,-36.7167,149.9833,
968,1,4,2014,injured,WA,"coral bay, south passage",whaler shark,Carcharhinidae,-23.1333,113.7500,No,ocean/pelagic,,,-23.1333,113.7500,
969,1,5,2014,uninjured,SA,elliston bar,white shark,Carcharodon carcharias ,-33.6333,134.8667,No,coastal,,,-33.6333,134.8667,
970,1,5,2014,injured,QLD,"chevron island, narang river",bull shark,Carcharhinus leucas,-27.9833,153.4167,No,river,,,-27.9833,153.4167,
971,1,6,2014,injured,SA,"parsons beach, fleurieu peninsula",white shark,Carcharodon carcharias ,-35.6309,138.4667,No,coastal,,,-35.6309,138.4667,
972,1,6,2014,injured,NSW,"seven mile beach, nowra",wobbegong,Orectolobidae,-34.8333,150.7500,No,coastal,,,-34.8333,150.7500,
973,1,6,2014,injured,SA,middleton beach,white shark,Carcharodon carcharias ,-35.5000,138.7167,No,coastal,,,-35.5000,138.7167,
974,1,6,2014,Injured,SA,middleton beach,white shark,Carcharodon carcharias ,-35.5000,138.7167,No,coastal,,,-35.5000,138.7167,
975,1,8,2014,injured,WA,gnaraloo station,whaler shark,Carcharhinidae,-23.7833,113.5000,No,coastal,,,-23.7833,113.5000,
976,9,9,2014,fatal,NSW,"byron bay, clarkes beach",white shark,Carcharodon carcharias ,-28.6333,153.6000,No,coastal,,,-28.6333,153.6000,
977,1,9,2014,injured,NSW," port macquarie, town beach",wobbegong,Orectolobidae,-31.4167,152.9167,No,coastal,,,-31.4167,152.9167,
978,1,10,2014,injured,NSW,avoca beach,wobbegong,Orectolobidae,-33.4500,151.4333,No,coastal,,,-33.4500,151.4333,
979,1,10,2014,injured,NSW,"wallabi point, old bar",wobbegong,Orectolobidae,-31.9833,152.5667,No,coastal,,,-31.9833,152.5667,
980,1,10,2014,injured,WA,"wylie bay, esperance",white shark,Carcharodon carcharias ,-33.8333,121.9167,No,coastal,,,-33.8333,121.9167,
981,1,11,2014,injured,NSW,moonee bay,wobbegong,Orectolobidae,-30.2000,159.1500,Yes,coastal,-30.2000,153.1600,-30.2000,153.1600,
982,1,11,2014,injured,NSW,"casey's beach, bateman's bay",wobbegong,Orectolobidae,-35.7333,150.2000,No,coastal,,,-35.7333,150.2000,
983,1,11,2014,injured,NSW,"dee why beach, sydney",wobbegong,Orectolobidae,-33.7500,151.3000,No,coastal,,,-33.7500,151.3000,
984,1,11,2014,injured,WA,"pyramind's beach, dawesville",bronze whaler shark,Carcharhinus brachyurus,-32.6000,115.6167,No,coastal,,,-32.6000,115.6167,
985,1,12,2014,injured,NSW,booderee national park,,,-35.1338,150.6860,No,coastal,,,-35.1338,150.6860,
986,1,12,2014,fatal,WA,"cheynes beach, albany",white shark,Carcharodon carcharias ,-34.8800,118.4050,No,coastal,,,-34.8800,118.4050,
987,1,12,2014,fatal,QLD,"rudder reef, port douglas",tiger shark,Galeocerdo cuvier ,-16.2000,145.7500,No,island open ocean,,,-16.2000,145.7500,
988,19,1,2015,uninjured,NSW,"byron bay, wategos beach",white shark,Carcharodon carcharias ,-28.6333,153.6167,No,coastal,,,-28.6333,153.6167,
989,1,1,2015,injured,NSW,"port stephens, piggies beach",wobbegong,Orectolobidae,-32.6833,152.0333,No,coastal,,,-32.6833,152.0333,
990,1,1,2015,uninjured,QLD,"nerang river, surfers paradise",bull shark,Carcharhinus leucas,-27.6333,153.4500,No,river,,,-27.6333,153.4500,
991,24,1,2015,uninjured,NSW,"ballina, flat rock",white shark,Carcharodon carcharias ,-28.8333,153.6000,No,coastal,,,-28.8333,153.6000,
992,1,1,2015,injured,NSW,mollymook,bronze whaler shark,Carcharhinus brachyurus,-35.3333,150.4667,No,coastal,,,-35.3333,150.4667,
993,8,2,2015,injured,NSW,"ballina, seven mile beach",white shark,Carcharodon carcharias ,-28.8833,153.5667,No,coastal,,,-28.8833,153.5667,
994,9,2,2015,fatal,NSW,"ballina, shelly beach",white shark,Carcharodon carcharias ,-28.8500,153.5833,No,coastal,,,-28.8500,153.5833,
995,1,2,2015,injured,NSW,"merewether beach, newcastle",wobbegong,Orectolobidae,-32.9500,151.7500,No,coastal,,,-32.9500,151.7500,
996,1,3,2015,injured,NSW,"lord howe island, ned's beach",galapagos shark,Carcharhinus galapagensis,-31.5167,159.0500,No,estuary/harbour,,,-31.5167,159.0500,
997,1,4,2015,injured,NSW,"lord howe island, ned's beach",galapagos shark,Carcharhinus galapagensis,-31.5167,159.0500,No,coastal,,,-31.5167,159.0500,
998,1,4,2015,injured,NSW,"mackenzies beach, bateman's bay",wobbegong,Orectolobidae,-35.8000,150.2167,No,coastal,,,-35.8000,150.2167,
999,1,4,2015,injured,SA,fishery bay nr port lincoln,white shark,Carcharodon carcharias ,-34.8667,135.7667,No,coastal,,,-34.8667,135.7667,
1000,3,5,2015,injured,NSW,"saltwater point, nr taree",white shark,Carcharodon carcharias ,-32.0167,152.5333,No,coastal,,,-32.0167,152.5333,
1001,1,6,2015,injured,WA,"ocean beach, demark",white shark,Carcharodon carcharias ,-35.0167,117.3333,No,coastal,,,-35.0167,117.3333,
1002,1,6,2015,injured,WA,"rottnest island, natural jetty",wobbegong,Orectolobidae,-31.9833,115.5333,No,island open ocean,,,-31.9833,115.5333,
1003,24,6,2015,uninjured,NSW,"byron bay, belongi beach",white shark,Carcharodon carcharias ,-28.6333,153.6000,No,coastal,,,-28.6333,153.6000,
1004,1,6,2015,injured,NSW,"mill point, south durras",tiger shark,Galeocerdo cuvier ,-35.6500,150.2833,No,coastal,,,-35.6500,150.2833,
1005,1,7,2015,uninjured,QLD,burleigh heads,white shark,Carcharodon carcharias ,-28.1000,153.4650,No,coastal,,,-28.1000,153.4650,
1006,1,7,2015,fatal,TAS,maria island,white shark,Carcharodon carcharias ,-42.6333,147.9833,No,coastal,,,-42.6333,147.9833,
1007,1,7,2015,uninjured,TAS,maria island,white shark,Carcharodon carcharias ,-42.6333,147.9833,No,estuary/harbour,,,-42.6333,147.9833,
1008,31,7,2015,injured,NSW,"evans head, main beach",white shark,Carcharodon carcharias ,-29.1000,153.4333,No,coastal,,,-29.1000,153.4333,
1009,3,7,2015,uninjured,NSW,lennox head,white shark,Carcharodon carcharias ,-28.7833,153.5833,No,coastal,,,-28.7833,153.5833,
1010,30,6,2015,injured,NSW,"yamba, flat rock, pippi beach",white shark,Carcharodon carcharias ,-29.4333,153.3667,No,coastal,,,-29.4333,153.3667,
1011,1,7,2015,injured,VIC,tyrendarra beach,white shark,Carcharodon carcharias ,-38.2500,141.7833,No,coastal,,,-38.2500,141.7833,
1012,2,7,2015,injured,NSW,"ballina, lighthouse beach",white shark,Carcharodon carcharias ,-28.8667,153.5833,No,coastal,,,-28.8667,153.5833,
1013,22,8,2015,injured,NSW,"port macquarie, lighthouse beach",white shark,Carcharodon carcharias ,-31.4667,152.9167,No,coastal,,,-31.4667,152.9167,
1014,1,8,2015,uninjured,QLD,"davies reef, off townsville",tiger shark,Galeocerdo cuvier ,-18.8333,147.6333,No,island open ocean,,,-18.8333,147.6333,
1015,1,9,2015,injured,NSW,"north shelly beach, gosford",,,-33.0500,152.5333,Yes,coastal,-33.3530,151.5124,-33.3530,151.5124,"-33.353084, 151.512425"
1016,4,9,2015,injured,NSW,black head beach,white shark,Carcharodon carcharias ,-32.0667,152.5333,No,coastal,,,-32.0667,152.5333,
1017,1,9,2015,injured,QLD,"russell island, frankland islands, gbr",,,-17.2167,146.0833,No,island open ocean,,,-17.2167,146.0833,
1018,1,10,2015,injured,WA,"cheynes beach, albany, wa",white shark,Carcharodon carcharias ,-34.8800,118.4050,No,coastal,,,-34.8800,118.4050,
1019,1,10,2015,injured,WA,"pyramids beach, mandurah",grey nurse shark,Carcharius taurus,-32.6000,115.6167,No,coastal,,,-32.6000,115.6167,
1020,1,11,2015,injured,NSW,"ballina, north wall",bull shark,Carcharhinus leucas,-28.8667,153.5833,No,coastal,,,-28.8667,153.5833,
1021,1,1,2016,injured,QLD,caloundra,wobbegong,Orectolobidae,-26.8000,153.1333,No,coastal,,,-26.8000,153.1333,
1022,1,1,2016,injured,QLD,heron island,blacktip reef shark,Carcharhinus melanopterus,-23.4333,151.9000,No,island open ocean,,,-23.4333,151.9000,
1023,1,1,2016,injured,QLD,"miall island, yeppoon",tiger shark,Galeocerdo cuvier ,-23.1500,150.9000,No,coastal,,,-23.1500,150.9000,
1024,4,2,2016,uninjured,NSW,hams beach (part of caves beach),white shark,Carcharodon carcharias ,-34.0000,151.6500,Yes,island open ocean,-33.0980,151.6695,-33.0980,151.6695,"-33.098072, 151.669520"
1025,1,2,2016,injured,NSW,barrenjoey,wobbegong,Orectolobidae,-23.5667,151.3167,No,coastal,,,-23.5667,151.3167,
1026,1,2,2016,uninjured,TAS,"nettley bay, marrawah",white shark,Carcharodon carcharias ,-40.9167,144.6167,No,coastal,,,-40.9167,144.6167,
1027,1,3,2016,uninjured,NSW,cresent head,white shark,Carcharodon carcharias ,-31.1833,152.9667,No,coastal,,,-31.1833,152.9667,
1028,1,3,2016,injured,SA,wrights bay beach,bronze whaler shark,Carcharhinus brachyurus,-37.0333,139.7333,No,coastal,,,-37.0333,139.7333,
1029,27,3,2016,uninjured,NSW,"cronulla beach, sydney",white shark,Carcharodon carcharias ,-34.0333,151.1500,No,coastal,,,-34.0333,151.1500,
1030,30,3,2016,injured,NSW,"bombo beach, kiama",white shark,Carcharodon carcharias ,-34.6500,150.8500,No,coastal,,,-34.6500,150.8500,
1031,1,4,2016,injured,NSW,"main beach, byron bay",wobbegong,Orectolobidae,-28.6333,153.6000,No,coastal,,,-28.6333,153.6000,
1032,1,5,2016,fatal,WA,"gearies beach, mandurah",white shark,Carcharodon carcharias ,-32.5833,115.6333,No,coastal,,,-32.5833,115.6333,
1033,1,5,2016,uninjured,NSW,kingscliff ,bronze whaler shark,Carcharhinus brachyurus,-28.2528,153.5922,No,coastal,,,-28.2528,153.5922,
1034,1,6,2016,fatal,WA,"one mile reef, mindarie",white shark,Carcharodon carcharias ,-31.6667,115.6667,No,ocean/pelagic,,,-31.6667,115.6667,
1035,1,6,2016,injured,WA,coral bay coast,grey reef shark,Carcharhinus amblyrhynchos,-23.0241,113.1294,No,ocean/pelagic,,,-23.0241,113.1294,
1036,1,6,2016,uninjured,NSW,minnamurra,,,-34.6215,150.8568,No,coastal,,,-34.6215,150.8568,
1037,1,6,2016,uninjured,NSW,kingscliff,bronze whaler shark,Carcharhinus brachyurus,-28.2646,153.5777,No,coastal,,,-28.2646,153.5777,
1038,1,7,2016,uninjured,NSW,"big rocky, port stephens",,,-32.7170,152.1049,No,coastal,,,-32.7170,152.1049,
1039,26,7,2016,uninjured,NSW,"sharpes beach, ballina",white shark,Carcharodon carcharias ,-28.8377,153.6044,No,coastal,,,-28.8377,153.6044,
1040,29,7,2016,uninjured,NSW,casuarina beach,white shark,Carcharodon carcharias ,-28.3037,153.5742,No,coastal,,,-28.3037,153.5742,
1041,1,9,2016,uninjured,VIC,"bells beach, winkipop reef",white shark,Carcharodon carcharias ,-38.0612,144.0475,Yes,coastal,-38.3680,144.2840,-38.3680,144.2840,"-38.368334, 144.284805"
1042,25,9,2016,injured,NSW,"lighthouse beach, ballina",white shark,Carcharodon carcharias ,-28.8667,153.5833,No,coastal,,,-28.8667,153.5833,
1043,1,9,2016,uninjured,WA,"injidup beach, yallingup",white shark,Carcharodon carcharias ,-33.1166,114.1649,No,coastal,,,-33.1166,114.1649,
1044,1,10,2016,injured,QLD,"kings beach, sunshine coast",white shark,Carcharodon carcharias ,-27.3350,153.2350,No,coastal,,,-27.3350,153.2350,
1045,12,10,2016,injured,NSW,"sharpes beach, ballina",white shark,Carcharodon carcharias ,-28.8333,153.6000,No,coastal,,,-28.8333,153.6000,
1046,24,10,2016,injured,NSW,"tallows beach, byron bay",white shark,Carcharodon carcharias ,-33.0895,151.0588,Yes,coastal,-28.6453,153.6333,-28.6453,153.6333,
1047,1,10,2016,injured,QLD,"whitehaven beach, whitsunday island",lemon shark,Negaprion brevirostris,-20.2333,148.9500,No,coastal,,,-20.2333,148.9500,
1048,30,11,2016,injured,NSW,"the ruin, booti booti national park",white shark,Carcharodon carcharias ,-32.3060,152.5228,No,coastal,,,-32.3060,152.5228,
1049,1,12,2016,uninjured,QLD,lockhart river,bull shark,Carcharhinus leucas,-12.4518,143.3444,No,river,,,-12.4518,143.3444,
1050,1,12,2016,injured,WA,"bundegi sanctuary zone, exmouth",whaler shark,Carcharhinidae,-21.1574,114.0219,No,coastal,,,-21.1574,114.0219,
1051,1,12,2016,injured,WA,trigg beach,,,-31.1453,115.1265,No,coastal,,,-31.1453,115.1265,
1052,1,1,2017,injured,QLD,"murry island, torres strait, (80km east)",whaler shark,Carcharhinidae,-9.8639,144.7908,No,island open ocean,,,-9.8639,144.7908,
1053,1,1,2017,injured,NSW,merrimbula main beach,wobbegong,Orectolobidae,-36.8867,149.9132,No,estuary/harbour,,,-36.8867,149.9132,
1054,1,1,2017,injured,QLD,flaggy rock,,,-21.9668,149.4844,No,coastal,,,-21.9668,149.4844,
1055,1,1,2017,uninjured,QLD,northern tip of cape york (unknown location),whaler shark,Carcharhinidae,-10.6541,142.5072,No,coastal,,,-10.6541,142.5072,
1056,1,2,2017,uninjured,WA,"falcon bay, mandurah",,,-32.5670,115.6500,No,coastal,,,-32.5670,115.6500,
1057,1,2,2017,injured,QLD,hinchinbrook island,tiger shark,Galeocerdo cuvier ,-18.2495,146.1839,No,island open ocean,,,-18.2495,146.1839,
1058,1,2,2017,injured,WA,mauds point coral bay,bull shark,Carcharhinus leucas,-23.2412,113.1294,No,coastal,,,-23.2412,113.1294,"-23.121290, 113.761408"
1059,1,3,2017,injured,NSW,"the farm, killalea state park",,,-34.6047,150.8678,No,coastal,,,-34.6047,150.8678,
1060,1,4,2017,uninjured,QLD,moreton bay off redcliff,,,-27.0521,153.0575,No,coastal,,,-27.0521,153.0575,
1061,1,4,2017,injured,NSW,"one mile beach, port stephens",grey nurse shark,Carcharius taurus,-32.7667,152.1127,No,coastal,,,-32.7667,152.1127,
1062,1,4,2017,fatal,WA,"the kelp beds, wylie bay, esperance",white shark,Carcharodon carcharias ,-33.8325,121.9969,No,coastal,,,-33.8325,121.9969,
1063,1,6,2017,uninjured,NSW,avoca beach,white shark,Carcharodon carcharias ,-33.0775,151.0725,Yes,coastal,-33.4632,151.4409,-33.4632,151.4409,
1064,1,6,2017,uninjured,WA,"casuarina point, bunbury",white shark,Carcharodon carcharias ,-33.3146,115.6350,No,coastal,,,-33.3146,115.6350,
1065,1,8,2017,injured,VIC,"cathedral point, lorne",white shark,Carcharodon carcharias ,-38.5367,143.9715,No,coastal,,,-38.5367,143.9715,
1066,19,9,2017,injured,NSW,main beach illuka,white shark,Carcharodon carcharias ,-29.5939,153.3322,No,coastal,,,-29.5939,153.3322,
1067,1,9,2017,uninjured,WA,"north point beach, gracetown",white shark,Carcharodon carcharias ,-33.8585,114.9843,No,coastal,,,-33.8585,114.9843,
1068,1,9,2017,injured,WA,"sams creek, karratha",whaler shark,Carcharhinidae,-20.6137,117.1863,No,estuary/harbour,,,-20.6137,117.1863,
1069,1,10,2017,uninjured,SA,"lady bay, normanville, adelaide",white shark,Carcharodon carcharias ,-35.4480,138.3180,No,coastal,,,-35.4480,138.3180,
1070,1,10,2017,injured,NSW,"birubi beach, port stephens",wobbegong,Orectolobidae,-32.7983,152.0792,No,coastal,,,-32.7983,152.0792,
1071,13,11,2017,injured,NSW,avoca beach,white shark,Carcharodon carcharias ,-33.4650,151.4350,No,coastal,,,-33.4650,151.4350,
1072,1,12,2017,uninjured,NSW,"birubi, port stephens",grey nurse shark,Carcharius taurus,-32.7876,152.0800,No,coastal,,,-32.7876,152.0800,
1073,1,1,2018,injured,WA,"cone bay, kimberley",bull shark,Carcharhinus leucas,-16.4683,123.5353,No,other: fish farm,,,-16.4683,123.5353,
1074,16,1,2018,injured,NSW,"five islands, wollongong",white shark,Carcharodon carcharias ,-34.4251,150.8931,No,island open ocean,,,-34.4251,150.8931,
1075,1,1,2018,injured,WA,gracetown,wobbegong,Orectolobidae,-33.8416,115.0221,No,coastal,,,-33.8416,115.0221,
1076,1,1,2018,injured,QLD,lizard island,grey reef shark,Carcharhinus amblyrhynchos,-14.6680,145.4638,No,island open ocean,,,-14.6680,145.4638,
1077,1,2,2018,uninjured,WA,"avalon point, mandurah",whaler shark,Carcharhinidae,-32.5361,115.7424,No,coastal,,,-32.5361,115.7424,
1078,1,2,2018,injured,NSW,"kiama surf beach, kiama",whaler shark,Carcharhinidae,-34.6700,150.8400,No,coastal,,,-34.6700,150.8400,
1079,1,2,2018,injured,WA,"mullaoo beach, joondalup",wobbegong,Orectolobidae,-31.7789,115.7326,No,coastal,,,-31.7789,115.7326,
1080,1,2,2018,injured,WA,"rocky point, eagle bay",wobbegong,Orectolobidae,-33.5638,115.0629,No,coastal,,,-33.5638,115.0629,
1081,17,2,2018,injured,NSW,"congwong beach, botany bay",white shark,Carcharodon carcharias ,-33.9930,151.1753,No,coastal,,,-33.9930,151.1753,
1082,1,3,2018,uninjured,WA,hamelin bay,tiger shark,Galeocerdo cuvier ,-34.2256,115.0609,No,coastal,,,-34.2256,115.0609,
1083,1,3,2018,injured,VIC,"winkipop, bell's beach",bronze whaler shark,Carcharhinus brachyurus,-38.3700,144.2800,No,coastal,,,-38.3700,144.2800,
1084,1,4,2018,injured,WA,"lefthanders, gracetown",white shark,Carcharodon carcharias ,-33.8416,115.0221,No,coastal,,,-33.8416,115.0221,
1085,1,4,2018,injured,WA,"cobblestones beach, gracetown",white shark,Carcharodon carcharias ,-33.8416,115.0221,No,coastal,,,-33.8416,115.0221,
1086,1,4,2018,uninjured,WA,"main break, prevelly",white shark,Carcharodon carcharias ,-33.9825,114.9922,No,coastal,,,-33.9825,114.9922,
1087,1,5,2018,uninjured,WA,"lefthanders, gracetown",white shark,Carcharodon carcharias ,-33.8416,115.0221,No,coastal,,,-33.8416,115.0221,
1088,1,6,2018,injured,NSW,"arrawarra beach, coffs harbour",wobbegong,Orectolobidae,-30.2960,153.1100,No,coastal,,,-30.2960,153.1100,
1089,3,6,2018,uninjured,NSW,"flat rock, ballina",white shark,Carcharodon carcharias ,-28.8400,153.6010,No,coastal,,,-28.8400,153.6010,
1090,1,9,2018,injured,QLD,"cid harbour, whitsundays",tiger shark,Galeocerdo cuvier ,-20.2500,148.9333,No,coastal,,,-20.2500,148.9333,
1091,1,9,2018,injured,QLD,"cid harbour, whitsundays",tiger shark,Galeocerdo cuvier ,-20.2500,148.9333,No,coastal,,,-20.2500,148.9333,
1092,1,9,2018,injured,NT,"groote eylandt, arnhem land (east)",bull shark,Carcharhinus leucas,-13.9700,136.5933,No,island open ocean,,,-13.9700,136.5933,
1093,1,10,2018,injured,NSW,"samurai beach, nsw",wobbegong,Orectolobidae,-32.7667,152.0833,No,coastal,,,-32.7667,152.0833,
1094,1,11,2018,fatal,QLD,"cid harbour, whitsundays",,,-20.2500,148.9333,No,coastal,,,-20.2500,148.9333,
1095,1,11,2018,injured,NSW,"shelley beach, manly",wobbegong,Orectolobidae,-33.3700,151.4859,No,coastal,,,-33.3700,151.4859,
1096,6,11,2018,injured,NSW,"shelly beach, ballina",white shark,Carcharodon carcharias ,-28.8632,153.5944,No,coastal,,,-28.8632,153.5944,
1097,1,11,2018,uninjured,QLD,"moffat beach, sunshine coast",tiger shark,Galeocerdo cuvier ,-26.7910,153.1390,No,coastal,,,-26.7910,153.1390,
1098,1,11,2018,injured,NSW,"seven mile beach, nowra",wobbegong,Orectolobidae,-34.8303,150.7561,No,coastal,,,-34.8303,150.7561,
1099,1,11,2018,injured,NT,nhulunbuy,whaler shark,Carcharhinidae,-12.1825,136.7819,No,coastal,,,-12.1825,136.7819,
1100,1,11,2018,injured,WA,"pyramids beach, mandurah",grey nurse shark,Carcharius taurus,-32.6036,115.6304,No,coastal,,,-32.6036,115.6304,
1101,1,12,2018,injured,NSW,"the bar, nambucca river entrance",,,-30.6432,153.0088,No,estuary/harbour,,,-30.6432,153.0088,
1102,1,12,2018,injured,NSW,"the entrance, gosford",wobbegong,Orectolobidae,-33.4250,151.3422,Yes,coastal,-33.3454,151.5062,-33.3454,151.5062,"-33.345392, 151.506157"
1103,1,1,2019,injured,WA,north cottesloe,wobbegong,Orectolobidae,-31.9890,115.7526,No,coastal,,,-31.9890,115.7526,
