UIN,Incident.day,Incident.month,Incident.year,Victim.injury,State,Location,Shark.common.name,Shark.scientific.name,Latitude-Orig,Longitude-Orig,Adjusted,Site.category,AdjLat,AdjLong,Latitude,Longitude,Notes
784,1,11,2003,injured,WA,"margaret river, mainbreak",wobbegong,Orectolobidae,-33.6333,114.9833,No,coastal,,,-33.6333,114.9833,
785,1,11,2003,injured,WA,"margaret river, mainbreak",wobbegong,Orectolobidae,-33.9667,114.9833,No,coastal,,,-33.9667,114.9833,
786,1,12,2003,injured,WA,"margaret river, prevelly",wobbegong,Orectolobidae,-33.9667,114.9833,No,river,,,-33.9667,114.9833,
787,1,12,2003,uninjured,VIC,"ocean grove, collendina",whaler shark,Carcharhinidae,-38.2667,144.5333,No,coastal,,,-38.2667,144.5333,
788,1,1,2004,injured,WA,gnarabup beach,wobbegong,Orectolobidae,-33.9833,114.9833,No,coastal,,,-33.9833,114.9833,
789,1,1,2004,uninjured,NSW,"shellharbour, bass point, wollongong",whaler shark,Carcharhinidae,-34.5667,150.8667,No,coastal,,,-34.5667,150.8667,
790,1,1,2004,injured,NSW,"nambucca heads, scott's head beach",wobbegong,Orectolobidae,-30.5667,152.9833,No,coastal,,,-30.5667,152.9833,
791,1,1,2004,injured,NSW,nambucca heads,wobbegong,Orectolobidae,-30.6333,153.0167,No,coastal,,,-30.6333,153.0167,
792,1,1,2004,injured,WA,"binningup beach, bunbury",white shark,Carcharodon carcharias ,-33.1333,115.6833,No,coastal,,,-33.1333,115.6833,
793,1,2,2004,uninjured,VIC,"bridgewater bay, portland",white shark,Carcharodon carcharias ,-38.3667,144.7500,No,coastal,,,-38.3667,144.7500,
794,1,2,2004,injured,NSW,caves beach,blind shark,Brachaelurus waddi,-33.1000,151.6500,No,coastal,,,-33.1000,151.6500,
795,1,2,2004,injured,WA,waterman beach,wobbegong,Orectolobidae,-31.8500,115.7500,No,coastal,,,-31.8500,115.7500,
796,1,2,2004,injured,WA,waterman beach,wobbegong,Orectolobidae,-31.8500,115.7500,No,coastal,,,-31.8500,115.7500,
797,1,3,2004,injured,WA,"cervantes, nr jurien bay",bronze whaler shark,Carcharhinus brachyurus,-30.2500,115.0167,No,Coastal,,,-30.2500,115.0167,
798,1,4,2004,injured,NSW,"forster, latitude reef",wobbegong,Orectolobidae,-32.2000,152.5500,No,coastal,,,-32.2000,152.5500,
799,1,4,2004,injured,WA,"margaret river, prevelly",wobbegong,Orectolobidae,-33.9667,114.9833,No,coastal,,,-33.9667,114.9833,
800,1,6,2004,uninjured,WA,floreat beach,white shark,Carcharodon carcharias ,-31.9167,115.7500,No,ocean/pelagic,,,-31.9167,115.7500,
801,1,6,2004,injured,WA,bunbury back beach,white shark,Carcharodon carcharias ,-33.3333,115.6333,No,coastal,,,-33.3333,115.6333,
802,1,7,2004,injured,WA,rottnest island,wobbegong,Orectolobidae,-31.9833,115.5333,No,island open ocean,,,-31.9833,115.5333,
